player,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
David Wotherspoon,MF,Canada,32-325,1990,0.2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,0,0,0,1,3,0,2,1,2,0,0,0,14,2,2,50.0
Dayot Upamecano,DF,France,24-041,1998,3.0,0,0,0,3,2,0,0,5,6,0,1,0,21,4,3,57.1
DeAndre Yedlin,DF,United States,29-151,1993,0.4,0,0,0,2,0,0,4,0,1,0,0,0,1,1,0,100.0
Declan Rice,MF,England,23-327,1999,3.6,0,0,0,3,2,0,3,8,3,0,0,0,22,1,2,33.3
Dejan Lovren,DF,Croatia,33-155,1989,4.3,1,0,0,2,1,1,2,5,2,0,0,0,16,11,5,68.8
Denis Odoi,DF,Ghana,34-194,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,0,0,0,1,2,0,0,3,0,0,0,0,5,1,2,33.3
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,0,0,0,11,6,2,8,7,3,0,0,0,14,7,9,43.8
Devis Epassy,GK,Cameroon,29-308,1993,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0
Diego Godín,DF,Uruguay,36-294,1986,1.7,0,0,0,0,1,0,0,1,0,0,0,0,6,8,2,80.0
Diogo Costa,GK,Portugal,23-079,1999,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Diogo Dalot,DF,Portugal,23-264,1999,2.0,0,0,0,1,0,0,5,1,6,0,0,0,9,3,2,60.0
Djibril Sow,MF,Switzerland,25-304,1997,2.9,0,0,0,2,7,0,1,2,1,0,0,0,9,1,2,33.3
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Dominik Livaković,GK,Croatia,27-332,1995,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0
Dries Mertens,MF,Belgium,35-215,1987,0.8,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,
Dušan Tadić,MF,Serbia,34-017,1988,2.9,0,0,0,7,4,1,17,1,2,0,0,0,10,0,0,
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,50.0
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,0,0,0,1,1,0,0,0,2,0,0,0,7,2,4,33.3
Eden Hazard,MF,Belgium,31-334,1991,1.4,0,0,0,0,7,0,1,1,0,0,0,0,7,1,1,50.0
Ederson,GK,Brazil,29-112,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,0,0,0,1,1,1,5,2,1,0,0,0,14,0,1,0.0
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,1,0,0,0,1,1,0,0,0,0,0,0,6,2,1,66.7
Edouard Mendy,GK,Senegal,30-281,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,75.0
Edson Álvarez,MF,Mexico,25-044,1997,1.9,1,0,0,4,1,1,0,4,2,0,0,0,10,11,5,68.8
Eduardo Camavinga,DF,France,20-027,2002,1.0,0,0,0,1,5,0,2,3,6,0,0,0,9,2,0,100.0
Ehsan Hajsafi,MF,IR Iran,32-285,1990,2.6,0,0,0,1,3,0,11,2,3,0,0,0,10,2,0,100.0
Ellyes Skhiri,MF,Tunisia,27-211,1995,3.0,0,0,0,3,2,0,2,7,3,0,0,0,18,1,0,100.0
Emiliano Martínez,GK,Argentina,30-096,1992,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
Enner Valencia,FW,Ecuador,33-033,1989,2.8,0,0,0,3,7,2,3,1,0,1,0,0,8,2,8,20.0
Enzo Ebosse,DF,Cameroon,23-271,1999,1.0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,100.0
Enzo Fernández,MF,Argentina,21-324,2001,2.6,0,0,0,2,4,0,2,3,5,0,0,1,17,8,2,80.0
Eray Cömert,DF,Switzerland,24-306,1998,0.5,1,0,0,3,1,0,0,2,0,0,0,0,4,0,0,
Eric Dier,DF,England,28-326,1994,0.4,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,50.0
Eric Maxim Choupo-Moting,FW,Cameroon,33-259,1989,2.8,0,0,0,0,1,1,0,1,2,0,0,0,8,11,6,64.7
Erick Gutiérrez,MF,Mexico,27-175,1995,0.5,1,0,0,2,3,0,0,2,1,0,0,0,3,1,0,100.0
Ethan Ampadu,MF,Wales,22-084,2000,2.8,0,0,0,5,3,0,2,4,3,0,0,0,16,3,5,37.5
Everton Ribeiro,MF,Brazil,33-241,1989,0.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Exequiel Palacios,MF,Argentina,24-063,1998,0.4,0,0,0,1,2,0,0,1,0,0,0,0,4,0,1,0.0
Fabian Frei,MF,Switzerland,33-333,1989,0.3,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0
Fabian Rieder,FW,Switzerland,20-294,2002,0.8,1,0,0,4,2,0,1,0,2,0,0,0,4,0,1,0.0
Fabian Schär,DF,Switzerland,30-352,1991,1.5,2,0,0,1,2,0,0,2,1,0,0,0,7,4,4,50.0
Fabinho,MF,Brazil,29-045,1993,1.0,0,0,0,2,0,0,0,1,2,0,0,0,9,1,6,14.3
Facundo Pellistri,MF,Uruguay,20-352,2001,2.0,0,0,0,2,2,0,3,0,1,0,0,0,9,0,6,0.0
Famara Diedhiou,FW,Senegal,29-357,1992,1.0,0,0,0,2,2,1,0,0,0,0,0,0,3,5,4,55.6
Federico Valverde,MF,Uruguay,24-138,1998,3.0,0,0,0,6,2,0,7,5,4,0,0,0,19,1,3,25.0
Ferjani Sassi,MF,Tunisia,30-264,1992,0.5,1,0,0,1,1,0,0,1,0,0,0,0,5,2,0,100.0
Ferrán Torres,FW,Spain,22-281,2000,2.4,0,0,0,1,5,2,9,0,0,0,0,0,8,0,3,0.0
Filip Kostić,DF,Serbia,30-036,1992,2.0,0,0,0,3,1,2,16,0,3,0,0,0,12,0,0,
Filip Mladenović,DF,Serbia,31-114,1991,0.7,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,100.0
Filip Đuričić,MF,Serbia,30-311,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,66.7
Firas Al-Buraikan,MF,Saudi Arabia,22-207,2000,3.0,0,0,0,2,3,1,2,2,3,0,0,0,7,5,7,41.7
Fodé Ballo-Touré,DF,Senegal,25-338,1997,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100.0
Fran Karačić,DF,Australia,26-209,1996,1.0,0,0,0,3,0,0,5,2,1,0,0,0,9,4,4,50.0
Francisco Calvo,DF,Costa Rica,30-152,1992,2.0,2,0,0,6,0,1,0,2,4,0,0,0,12,2,1,66.7
Fred,MF,Brazil,29-277,1993,1.4,1,0,0,2,0,0,0,0,2,0,0,0,6,0,2,0.0
Frenkie de Jong,MF,Netherlands,25-209,1997,3.9,1,0,0,2,3,0,2,5,5,0,0,0,26,6,1,85.7
Félix Torres Caicedo,DF,Ecuador,25-330,1997,3.0,0,0,0,1,0,0,0,4,2,0,0,0,17,9,4,69.2
Gabriel Jesus,FW,Brazil,25-248,1997,1.0,0,0,0,1,4,0,1,2,1,0,0,0,2,1,1,50.0
Garang Kuol,FW,Australia,18-083,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,33.3
Gareth Bale,FW,Wales,33-144,1989,2.5,1,0,0,2,5,2,2,1,1,1,0,0,9,4,7,36.4
Gavi,MF,Spain,18-124,2004,3.2,0,0,0,9,14,0,4,1,4,0,0,0,7,2,5,28.6
Gaël Ondoua,MF,Cameroon,27-033,1995,0.5,0,0,0,2,1,0,0,2,1,0,0,0,2,1,2,33.3
Georges-Kévin N'Koudou,FW,Cameroon,27-297,1995,0.3,0,0,0,1,1,0,2,0,0,0,0,0,3,0,1,0.0
Germán Pezzella,DF,Argentina,31-163,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Gerson Torres,MF,Costa Rica,25-101,1997,0.7,0,0,0,1,8,0,0,0,0,0,0,0,4,0,0,
Ghaylène Chaalali,MF,Tunisia,28-282,1994,0.2,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,100.0
Gideon Mensah,DF,Ghana,24-142,1998,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
Gio Reyna,FW,United States,20-024,2002,0.6,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,100.0
